hex,token
0xBBA6,mu
0xBBA7,xpi
0xBBA8,rho
0xBBA9,sigma
0xBBAB,phi
0xBBAC,omega
0xBBAD,^p
0xBBAE,chi
0xBBAE,chi
0xBBAF,F
0xBBB0,a
0xBBB1,b
0xBBB2,c
0xBBB3,d
0xBBB4,e
0xBBB5,f
0xBBB6,g
0xBBB7,h
0xBBB8,i
0xBBB9,j
0xBBBA,k
0xBBBC,l
0xBBBD,m
0xBBBE,n
0xBBBF,o
0xBBC0,p
0xBBC1,q
0xBBC2,r
0xBBC3,s
0xBBC4,t
0xBBC5,u
0xBBC6,v
0xBBC7,w
0xBBC8,x
0xBBC9,y
0xBBCA,z
0xBBCB,lsigma
0xBBCC,smallT1
0xBBCD,Í
0xBBCE,GarbageCollect
0xBBCF,~
0xBBD1,@
0xBBD2,#
0xBBD3,$
0xBBD4,amp
0xBBD5,`
0xBBD6,;
0xBBD7,\
0xBBD8,|
0xBBD9,_
0xBBDA,%
0xBBDB,...
0xBBDC,angle
0xBBDD,beta
0xBBDE,smallx1
0xBBDF,smallT2
0xBBE0,small0
0xBBE1,small1
0xBBE2,small2
0xBBE3,small3
0xBBE4,small4
0xBBE5,small5
0xBBE6,small6
0xBBE7,small7
0xBBE8,small8
0xBBE9,small9
0xBBEA,small10
0xBBEB,leftarrow
0xBBEC,rightarrow
0xBBED,uparrowsmall
0xBBEE,downarrowsmall
0xBBEF,smallx2
0xBBF0,integral
0xBBF1,uparrow
0xBBF2,downarrow
0xBBF3,squareroot
0xBBF4,highlightedequals
0xEF00,setDate(
0xEF01,setTime(
0xEF02,checkTmr(
0xEF03,setDtFmt(
0xEF04,setTmFmt(
0xEF05,timeCnv(
0xEF06,dayOfWk(
0xEF07,getDtStr(
0xEF08,getTmStr(
0xEF09,getDate
0xEF0A,getTime
0xEF0B,startTmr
0xEF0C,getDtFmt
0xEF0D,getTmFmt
0xEF0E,isClockOn
0xEF0F,ClockOff
0xEF10,ClockOn
0xEF11,OpenLib(
0xEF12,ExecLib
0xEF13,invT(
0xEF14,X^2GOF-Test(
0xEF15,LinRegTInt
0xEF16,Manual-Fit
